# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	17159
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=0 d=0.1 t=14294
da xiao xie 	大小寫	c=3 d=1.9802 t=15321
da xing 	大型	c=1 d=1 t=14091
da xue 	大學	c=1 d=1 t=13602
da yin 	打印	c=8 d=1.11884 t=11619
da yin chu lai 	打印出來	c=1 d=1 t=12926
da yu 	大於	c=1 d=1 t=2317
da zhi 	大致	c=1 d=1 t=16389
dai 	待	c=2 d=1.88692 t=12542
dai biao 	代表	c=7 d=0.6629 t=17159
dai hao 	代號	c=1 d=1 t=2225
dai li 	代理	c=1 d=0.187308 t=17159
dai ma 	代碼	c=229 d=3.97316 t=17159
dan 	但	c=16 d=1.38995 t=16820
dan 	單	c=2 d=1.00198 t=2969
dan ci 	單詞	c=2 d=1.93707 t=11035
dan du 	單獨	c=4 d=1.00303 t=16025
dan ge 	單個	c=5 d=1.98511 t=14729
dan ji 	單機	c=1 d=1 t=5752
dan shi 	但是	c=32 d=1.22945 t=17159
dan wei 	單位	c=1 d=1 t=10280
dan yuan 	單元	c=3 d=1.33513 t=14507
dang 	當	c=1 d=0.344728 t=17159
dang qian 	當前	c=20 d=0.448087 t=17159
dang wo 	當我	c=3 d=1.00003 t=6423
dang yue 	當月	c=1 d=1 t=2646
dao 	到	c=44 d=1.04118 t=17159
dao 	道	c=2 d=1.03456 t=9830
dao chu 	導出	c=3 d=1.77492 t=10941
dao da 	到達	c=2 d=1.3588 t=8509
dao di 	到底	c=19 d=0.181031 t=17159
dao le 	到了	c=1 d=0.0157644 t=17159
dao ru 	導入	c=7 d=1.00005 t=15667
dao zhi 	導致	c=13 d=2.3169 t=16976
de 	得	c=1 d=1 t=16063
de 	的	c=1158 d=14.7161 t=17159
de chu 	得出	c=2 d=1.44709 t=16052
de dao 	得到	c=58 d=0.798762 t=17159
de dao bao cuo 	得到報錯	c=1 d=1 t=8706
de hao yong 	的好用	c=1 d=1 t=14041
de zhi 	得知	c=2 d=1.96079 t=14904
dei 	得	c=1 d=1 t=3726
deng 	等	c=10 d=1.00344 t=15633
deng dai 	等待	c=2 d=1.03065 t=8683
deng jia 	等價	c=4 d=1.97533 t=15928
deng lu 	登錄	c=1 d=1 t=4914
deng xiao 	等效	c=1 d=1 t=7978
deng yu 	等於	c=1 d=1 t=9291
di 	地	c=2 d=0.511709 t=17159
di 	第	c=5 d=1 t=12957
di 	迪	c=1 d=1 t=3499
